countryyearcode,INVPRIMARYTEACHERS,PRIMARYTEACHERS,INVLOWERTEACHERS,LOWERTEACHERS,INVUPPERTEACHERS,
AUS2009,,,,,,
AUS2010,,,,,,
AUS2011,,,,,,
AUS2012,,,,,,
AUS2013,,,,,,
AUS2014,,,,,,
AUS2015,,,,,,
AUS2016,,,,,,
AUS2017,,,,,,
AUS2018,,,,,,
AUS2019,,,,,,
AUS2020,,,,,,
AUS2021,,,,,,
AUS2022,,,,,,
AUT1980,0.060283299,16.58834237,,,,
AUT1981,0.066265582,15.09079019,,,,
AUT1982,0.069638404,14.3598926,,,,
AUT1983,0.073214649,13.65846886,,,,
AUT1984,0.076521977,13.06814115,,,,
AUT1985,0.079406683,12.5933984,,,,
AUT1986,0.094560317,10.57526062,,,,
AUT1987,0.097397916,10.26716012,,,,
AUT1988,0.098603925,10.14158416,,,,
AUT1989,0.098352593,10.16750015,,,,
AUT1990,0.096967819,10.31269973,,,,
AUT1991,0.096276567,10.3867434,,,,
AUT1992,0.095772004,10.44146467,,,,
AUT1993,0.090462396,11.05431701,,,,
AUT1994,0.086033019,11.62344427,,,,
AUT1995,0.087595826,11.41606913,0.122740806,8.147249714,0.103493327,9.662458704
AUT1996,0.082222038,12.16218948,0.108909037,9.181974495,0.099874122,10.01260366
AUT1997,0.084136984,11.88537967,0.113184462,8.835134948,0.098035996,10.20033499
AUT1998,0.085301403,11.72313659,0.114516087,8.732397607,0.077985958,12.8228212
AUT1999,0.07712247,12.96638975,0.113476274,8.81241483,0.078096061,12.80474319
AUT2000,,,,,,
AUT2001,,,,,,
AUT2002,0.07631246,13.10402005,0.114379111,8.742855159,0.075741411,13.20281709
AUT2003,0.076215207,13.1207411,0.111913151,8.935500384,0.077136993,12.96394847
AUT2004,0.076688127,13.03982815,0.110123335,9.080727527,0.075572206,13.23237813
AUT2005,0.081258719,12.30637163,0.108205356,9.241686713,0.074307881,13.45752271
AUT2006,0.083021284,12.04510398,0.109758694,9.110895578,0.073636156,13.58028512
AUT2007,0.085711525,11.66704243,0.110587493,9.042613904,0.073889365,13.53374736
AUT2008,0.086613774,11.54550781,0.111889757,8.937368572,0.077274268,12.94091847
AUT2009,0.088182052,11.34017615,0.116144862,8.609937476,0.079524316,12.57477015
AUT2010,0.090485114,11.05154154,0.119893917,8.340706714,0.080592237,12.40814294
AUT2011,0.091553945,10.92252228,0.122260589,8.179250625,0.082756223,12.08368343
AUT2012,0.092933097,10.76042908,0.122365091,8.172265392,0.084953082,11.77120334
AUT2013,0.094550938,10.57630965,0.121930747,8.201376769,0.085004627,11.76406545
AUT2014,0.094823119,10.54595133,0.124442384,8.035847329,0.084569269,11.8246263
AUT2015,0.096368149,10.37687251,0.126711988,7.891913089,0.084180855,11.87918563
AUT2016,0.099249795,10.07558754,0.130448891,7.665837496,0.085185572,11.73907709
AUT2017,0.102942948,9.714118558,0.132189679,7.564887105,0.084424867,11.84485132
AUT2018,,,,,,
AUT2019,0.097160745,10.29222242,0.131993015,7.576158465,0.08398109,11.90744256
AUT2020,0.095800678,10.43833943,0.130169084,7.682315689,0.085053009,11.75737354
AUT2021,,,,,,
AUT2022,,,,,,
AZE1980,,,,,,
AZE1981,,,,,,
AZE1982,,,,,,
AZE1983,,,,,,
AZE1984,,,,,,
AZE1985,,,,,,
AZE1986,,,,,,
AZE1987,,,,,,
AZE1988,,,,,,
AZE1989,,,,,,
AZE1990,,,,,,
AZE1991,0.057601496,17.36066012,,,,
AZE1992,0.056790732,17.60850681,,,,
AZE1993,0.05682966,17.59644515,,,,
AZE1994,0.059929861,16.68617248,,,,
AZE1995,0.059632707,16.76932077,,,,
AZE1996,0.046365373,21.56781965,,,,
AZE1997,0.047266416,21.15667061,,,,
AZE1998,0.048171206,20.75928926,,,,
AZE1999,0.050843806,19.66807933,,,,
AZE2000,0.052022287,19.22253063,,,,
AZE2001,0.057745389,17.3174,,,,
AZE2002,0.060765032,16.45683314,,,,
AZE2003,0.063043577,15.86204413,,,,
AZE2004,0.068151047,14.67328898,,,,
AZE2005,0.071032692,14.07802476,,,,
AZE2006,0.075397437,13.26305025,,,,
AZE2007,0.081589691,12.25645037,,,,
AZE2008,0.083279355,12.00777785,,,,
AZE2009,0.085775454,11.6583469,,,,
AZE2010,0.084912585,11.77681724,,,,
AZE2011,0.085605347,11.68151334,,,,
AZE2012,0.082156424,12.17190267,,,,
AZE2013,0.08272618,12.08807178,,,,
AZE2014,0.084018946,11.90207744,,,,
AZE2015,0.078976535,12.66198873,,,,
AZE2016,0.06872686,14.55035185,0.134139929,7.454901821,0.09159229,10.91794955
