year,iso,countryyearcode,"School age population, primary education, both sexes (number)","School age population, primary education, female (number)","School age population, primary education, male (number)","School age population, lower secondary education, both sexes (number)","School age population, lower secondary education, female (number)","School age population, lower secondary education, male (number)","School age population, upper secondary education, both sexes (number)","School age population, upper secondary education, female (number)","School age population, upper secondary education, male (number)"
2008,BFA,BFA2008,2379606,1170249,1209357,1342571,660702,681869,896609,441939,454670
2009,BFA,BFA2009,2456076,1207242,1248834,1382487,680090,702397,921899,454271,467628
2010,BFA,BFA2010,2624690,1289303,1335387,1473343,724261,749082,982922,483795,499127
2011,BFA,BFA2011,2702736,1327134,1375602,1520742,747169,773573,1013953,498770,515183
2012,BFA,BFA2012,2787440,1368341,1419099,1565832,769161,796671,1042176,512587,529589
2013,BFA,BFA2013,2877304,1412254,1465050,1614788,792941,821847,1073099,527696,545403
2014,BFA,BFA2014,2970101,1457846,1512255,1666783,818097,848686,1106773,544099,562674
2015,BFA,BFA2015,3063167,1503852,1559315,1720800,844106,876694,1142742,561549,581193
2016,BFA,BFA2016,3153356,1548672,1604684,1776314,870785,905529,1180510,579772,600738
2017,BFA,BFA2017,3246877,1595071,1651806,1832242,898151,934091,1217026,597551,619475
2018,BFA,BFA2018,3336505,1639255,1697250,1891333,927206,964127,1255352,616111,639241
2019,BFA,BFA2019,3420701,1680533,1740168,1953305,957813,995492,1295563,635494,660069
2020,BFA,BFA2020,3498241,1718392,1779849,2017823,989755,1028068,1337984,655960,682024
2021,BFA,BFA2021,3569383,1753091,1816292,2083001,1022002,1060999,1382986,677809,705177
2022,BFA,BFA2022,3645179,1790130,1855049,2142868,1051792,1091076,1427244,699762,727482
1980,BDI,BDI1980,630036,316647,313389,375737,189585,186152,262875,133681,129194
1981,BDI,BDI1981,635698,319847,315851,380551,191596,188955,266934,135382,131552
1982,BDI,BDI1982,645438,325744,319694,383931,193671,190260,268948,136420,132528
1983,BDI,BDI1983,659849,333755,326094,387465,195964,191501,271217,137730,133487
1984,BDI,BDI1984,679239,343947,335292,390811,198240,192571,273716,139248,134468
1985,BDI,BDI1985,703007,355955,347052,394190,200469,193721,276604,140981,135623
1986,BDI,BDI1986,730529,369430,361099,398051,202747,195304,279651,142785,136866
1987,BDI,BDI1987,763348,385150,378198,403626,205363,198263,282639,144333,138306
1988,BDI,BDI1988,798669,401921,396748,412291,209262,203029,285384,145619,139765
1989,BDI,BDI1989,834328,418831,415497,424674,214891,209783,288072,146737,141335
1990,BDI,BDI1990,868736,435330,433406,440684,222378,218306,290896,147833,143063
1991,BDI,BDI1991,899936,450639,449297,459349,231368,227981,294696,149406,145290
1992,BDI,BDI1992,942476,471253,471223,478647,240825,237822,296759,150333,146426
1993,BDI,BDI1993,987305,493242,494063,500994,251832,249162,304336,154099,150237
1994,BDI,BDI1994,1032104,515330,516774,525567,263939,261628,316580,160193,156387
1995,BDI,BDI1995,1073904,535835,538069,551516,276636,274880,331928,167723,164205
1996,BDI,BDI1996,1110237,553346,556891,578262,289543,288719,349045,175951,173094
1997,BDI,BDI1997,1140795,569372,571423,597074,299034,298040,360230,181444,178786
1998,BDI,BDI1998,1168520,583894,584626,617734,309357,308377,372145,187232,184913
1999,BDI,BDI1999,1193155,596815,596340,640753,320839,319914,386388,194167,192221
2000,BDI,BDI2000,1215043,608423,606620,667096,334083,333013,404068,202844,201224
2001,BDI,BDI2001,1233418,618450,614968,697601,349618,347983,425414,213426,211988
2002,BDI,BDI2002,1244891,623978,620913,724549,363075,361474,448727,224948,223779
2003,BDI,BDI2003,1257296,629981,627315,750480,376047,374433,473111,237090,236021
2004,BDI,BDI2004,1269863,636070,633793,773662,387667,385995,498426,249755,248671
2005,BDI,BDI2005,1280498,641159,639339,793474,397597,395877,524386,262758,261628
2006,BDI,BDI2006,1287593,644419,643174,810819,406259,404560,549284,275210,274074
2007,BDI,BDI2007,1292920,646853,646067,822681,412326,410355,569078,285282,283796
2008,BDI,BDI2008,1303949,652052,651897,832633,417323,415310,584470,293119,291351
2009,BDI,BDI2009,1322547,660996,661551,839209,420546,418663,596613,299272,297341
2010,BDI,BDI2010,1348589,673689,674900,842133,421910,420223,607278,304632,302646
2011,BDI,BDI2011,1382082,690201,691881,842218,421862,420356,616452,309215,307237
2012,BDI,BDI2012,1423324,710380,712944,842278,421806,420472,620729,311428,309301
2013,BDI,BDI2013,1470955,733814,737141,847449,424245,423204,621681,311955,309726
2014,BDI,BDI2014,1524052,760027,764025,859055,429861,429194,620999,311601,309398
2015,BDI,BDI2015,1583158,789256,793902,877249,438738,438511,620584,311284,309300
2016,BDI,BDI2016,1648231,821451,826780,900658,450190,450468,622899,312237,310662
2017,BDI,BDI2017,1716599,855333,861266,706861,353091,353770,643507,322189,321318
2018,BDI,BDI2018,1787890,890519,897371,732028,365496,366532,660430,330537,329893
2019,BDI,BDI2019,1859892,925910,933982,761955,380281,381674,680163,340213,339950
2020,BDI,BDI2020,1999843,994422,1005421,829360,413712,415648,727191,363251,363940
2021,BDI,BDI2021,,,,,,,,,
2022,BDI,BDI2022,2069938,1028615,1041323,865170,431489,433681,756802,377980,378822
1980,KHM,KHM1980,1168173,592125,576048,511655,269551,242104,461324,251057,210267
1981,KHM,KHM1981,1150563,580850,569713,508287,267255,241032,453643,249186,204457
1982,KHM,KHM1982,1148619,579039,569580,517643,269722,247921,464383,252243,212140
1983,KHM,KHM1983,1133236,570566,562670,528182,272619,255563,476218,255085,221133
1984,KHM,KHM1984,1102994,555244,547750,539871,275982,263889,488510,257946,230564
1985,KHM,KHM1985,1060265,534791,525474,555995,281388,274607,502428,261689,240739
1986,KHM,KHM1986,1018003,515429,502574,573094,287427,285667,517760,266499,251261
1987,KHM,KHM1987,994552,505369,489183,565097,282565,282532,525412,268107,257305
1988,KHM,KHM1988,1030923,523241,507682,540916,270849,270067,540794,273451,267343
1989,KHM,KHM1989,1128060,569560,558500,507316,255276,252040,555675,278786,276889
1990,KHM,KHM1990,1282667,642865,639802,468834,237758,231076,556249,278023,278226
1991,KHM,KHM1991,1471610,732500,739110,438160,224025,214135,534064,267422,266642
1992,KHM,KHM1992,1653429,819092,834337,451457,230937,220520,504236,253790,250446
1993,KHM,KHM1993,1799731,889690,910041,513590,260750,252840,467993,237559,230434
1994,KHM,KHM1994,1907283,942634,964649,607539,305573,301966,445327,227799,217528
1995,KHM,KHM1995,1976446,977734,998712,714192,356494,357698,457503,234380,223123
1996,KHM,KHM1996,2016196,998903,1017293,816963,405733,411230,520122,264583,255539
1997,KHM,KHM1997,2058872,1018705,1040167,919333,456154,463179,616486,311186,305300
1998,KHM,KHM1998,2086257,1029726,1056531,990801,491425,499376,744046,373298,370748
1999,KHM,KHM1999,2100408,1033761,1066647,1028481,509324,519157,877486,438751,438735
2000,KHM,KHM2000,2103799,1032995,1070804,1041007,513750,527257,991668,494810,496858
2001,KHM,KHM2001,2098356,1029032,1069324,1040771,511138,529633,1055891,525650,530241
2002,KHM,KHM2002,2107918,1034534,1073384,1020811,499702,521109,1053777,523065,530712
2003,KHM,KHM2003,2108335,1035276,1073059,1013530,495429,518101,1023394,505755,517639
2004,KHM,KHM2004,2094092,1028352,1065740,1024711,501119,523592,987061,485255,501806
2005,KHM,KHM2005,2059128,1010521,1048607,1051489,514941,536548,959173,469356,489817
2006,KHM,KHM2006,2004336,982171,1022165,1082636,530839,551797,960216,468926,491290
2007,KHM,KHM2007,1939516,949359,990157,1082543,529447,553096,967363,473895,493468
2008,KHM,KHM2008,1891295,926488,964807,1063071,517998,545073,994171,486715,507456
2009,KHM,KHM2009,1857346,911866,945480,1030744,501033,529711,1022681,498348,524333
2010,KHM,KHM2010,1835126,903579,931547,998473,485216,513257,1041188,504196,536992
2011,KHM,KHM2011,1821058,899138,921920,975113,474559,500554,1036002,499491,536511
2012,KHM,KHM2012,1802080,891951,910129,950930,465021,485909,1012666,490010,522656
2013,KHM,KHM2013,1802341,892358,909983,931277,457309,473968,985344,478841,506503
2014,KHM,KHM2014,1822376,900584,921792,914735,450873,463862,963063,469890,493173
2015,KHM,KHM2015,1861073,916274,944799,898130,444500,453630,942722,461830,480892
2016,KHM,KHM2016,1911197,936724,974473,882791,438680,444111,924062,454522,469540
2017,KHM,KHM2017,1958604,956503,1002101,878562,437144,441418,906424,447708,458716
2018,KHM,KHM2018,1999084,974452,1024632,889662,441616,448046,888281,440798,447483
2019,KHM,KHM2019,2031602,990121,1041481,911221,450230,460991,873311,435142,438169
2020,KHM,KHM2020,2055437,1003061,1052376,937538,460696,476842,869080,433623,435457
2021,KHM,KHM2021,2072019,1013380,1058639,963876,471257,492619,880748,438251,442497
2022,KHM,KHM2022,2088272,1023313,1064959,985455,480655,504800,902120,446875,455245
1980,CMR,CMR1980,1367556,681730,685826,749499,373585,375914,491057,244884,246173
1981,CMR,CMR1981,1412071,703975,708096,777072,387297,389775,509307,253903,255404
1982,CMR,CMR1982,1464117,729884,734233,804045,400794,403251,526562,262560,264002
1983,CMR,CMR1983,1518692,756959,761733,832060,414785,417275,544730,271651,273079
1984,CMR,CMR1984,1574793,784720,790073,861372,429416,431956,564246,281370,282876
1985,CMR,CMR1985,1631526,812748,818778,892608,445014,447594,585059,291702,293357
1986,CMR,CMR1986,1688166,840726,847440,925781,461572,464209,606805,302496,304309
1987,CMR,CMR1987,1752266,872348,879918,958047,477683,480364,627338,312831,314507
1988,CMR,CMR1988,1821688,906626,915062,992504,494790,497714,649417,323923,325494
1989,CMR,CMR1989,1894518,942631,951887,1028940,512807,516133,673171,335806,337365
1990,CMR,CMR1990,1968391,979203,989188,1067048,531605,535443,698193,348259,349934
1991,CMR,CMR1991,2040425,1014924,1025501,1106726,551162,555564,724063,361073,362990
1992,CMR,CMR1992,2118272,1053417,1064855,1147444,571282,576162,749148,373548,375600
1993,CMR,CMR1993,2194638,1091135,1103503,1191648,593112,598536,775727,386698,389029
1994,CMR,CMR1994,2267155,1126936,1140219,1239223,616637,622586,803747,400500,403247
1995,CMR,CMR1995,2333421,1159672,1173749,1289635,641621,648014,833498,415138,418360
1996,CMR,CMR1996,2392020,1188672,1203348,1341043,667150,673893,865679,431011,434668
1997,CMR,CMR1997,2456675,1220656,1236019,1389046,691004,698042,898856,447547,451309
1998,CMR,CMR1998,2518616,1251339,1267277,1435770,714206,721564,934750,465453,469297
1999,CMR,CMR1999,2575673,1279593,1296080,1481422,736882,744540,972481,484227,488254
2000,CMR,CMR2000,2625545,1304204,1321341,1526785,759418,767367,1010505,503075,507430
2001,CMR,CMR2001,2667400,1324713,1342687,1571435,781572,789863,1047656,521436,526220
2002,CMR,CMR2002,2719792,1350726,1369066,1611649,801665,809984,1080818,538045,542773
2003,CMR,CMR2003,2772984,1377086,1395898,1649020,820236,828784,1113327,554297,559030
2004,CMR,CMR2004,2826041,1403331,1422710,1683945,837512,846433,1146387,570749,575638
2005,CMR,CMR2005,2878489,1429250,1449239,1718314,854470,863844,1179593,587193,592400
2006,CMR,CMR2006,2930592,1454989,1475603,1753194,871665,881529,1211203,602789,608414
2007,CMR,CMR2007,2993385,1486164,1507221,1783616,886789,896827,1235599,615017,620582
2008,CMR,CMR2008,3068004,1523196,1544808,1815703,902667,913036,1259701,627028,632673
2009,CMR,CMR2009,3153064,1565438,1587626,1849090,919181,929909,1285052,639570,645482
2010,CMR,CMR2010,3246379,1611852,1634527,1883584,936280,947304,1311557,652631,658926
2011,CMR,CMR2011,3343500,1660252,1683248,1920512,954648,965864,1337944,665637,672307
2012,CMR,CMR2012,3446532,1711295,1735237,1960885,974715,986170,1360545,676962,683583
2013,CMR,CMR2013,3551754,1763385,1788369,2010264,999234,1011030,1384179,688782,695397
2014,CMR,CMR2014,3657142,1815498,1841644,2068280,1028059,1040221,1409487,701347,708140
2015,CMR,CMR2015,3760409,1866466,1893943,2132996,1060237,1072759,1438416,715617,722799
2016,CMR,CMR2016,3859231,1915152,1944079,2201215,1094136,1107079,1473353,732835,740518
2017,CMR,CMR2017,3962431,1965879,1996552,2268031,1127324,1140707,1513408,752856,760552
2018,CMR,CMR2018,4063735,2015599,2048136,2336622,1161194,1175428,1559806,775991,783815
2019,CMR,CMR2019,4160744,2063190,2097554,2406577,1195600,1210977,1609816,800827,808989
2020,CMR,CMR2020,4251079,2107553,2143526,2477506,1230430,1247076,1661269,826270,834999
2021,CMR,CMR2021,4333601,2148195,2185406,2548379,1265236,1283143,1713742,852132,861610
2022,CMR,CMR2022,4419733,2190552,2229181,2616251,1298623,1317628,1764721,877370,887351
1980,CAN,CAN1980,2212200,1077605,1134595,1280700,625097,655603,1449961,709220,740741
1981,CAN,CAN1981,2196470,1069231,1127239,1219583,594944,624639,1412217,690129,722088
1982,CAN,CAN1982,2182943,1063053,1119890,1173528,571942,601586,1360779,664540,696239
1983,CAN,CAN1983,2171047,1057889,1113158,1144964,557594,587370,1298992,633776,665216
1984,CAN,CAN1984,2163472,1054766,1108706,1129150,549852,579298,1238947,603671,635276
1985,CAN,CAN1985,2162283,1054377,1107906,1118386,545043,573343,1190177,579154,611023
1986,CAN,CAN1986,2167646,1056637,1111009,1108332,540861,567471,1161113,564716,596397
1987,CAN,CAN1987,2183251,1063527,1119724,1107151,540208,566943,1151198,561041,590157
1988,CAN,CAN1988,2202320,1072497,1129823,1109251,540606,568645,1147671,559743,587928
1989,CAN,CAN1989,2224360,1083151,1141209,1112646,541730,570916,1144868,557974,586894
1990,CAN,CAN1990,2248715,1095031,1153684,1115846,543186,572660,1143274,556324,586950
1991,CAN,CAN1991,2274667,1107693,1166974,1118845,544897,573948,1141816,554937,586879
1992,CAN,CAN1992,2309269,1124273,1184996,1132298,551275,581023,1143454,556595,586859
1993,CAN,CAN1993,2336214,1137698,1198516,1148043,558475,589568,1148694,559418,589276
1994,CAN,CAN1994,2356053,1147969,1208084,1163595,565785,597810,1157962,563471,594491
1995,CAN,CAN1995,2370223,1155447,1214776,1178049,572910,605139,1170495,568688,601807
1996,CAN,CAN1996,2381160,1161039,1220121,1191109,579544,611565,1184187,574648,609539
1997,CAN,CAN1997,2394393,1167865,1226528,1204986,586591,618395,1197192,581763,615429
1998,CAN,CAN1998,2408004,1174792,1233212,1216417,592132,624285,1212434,589584,622850
1999,CAN,CAN1999,2422383,1181934,1240449,1224414,596034,628380,1228811,597445,631366
2000,CAN,CAN2000,2437210,1189124,1248086,1228240,598150,630090,1243309,604157,639152
2001,CAN,CAN2001,2449420,1194952,1254468,1229397,599165,630232,1252939,608678,644261
2002,CAN,CAN2002,2460275,1200261,1260014,1239885,604039,635846,1262839,614516,648323
2003,CAN,CAN2003,2452318,1196914,1255404,1253918,610428,643490,1269298,617868,651430
2004,CAN,CAN2004,2426143,1184779,1241364,846478,412360,434118,1697640,825518,872122
2005,CAN,CAN2005,2383555,1164249,1219306,854407,416785,437622,1711818,831620,880198
2006,CAN,CAN2006,2331307,1138328,1192979,859152,419886,439266,1728558,839703,888855
2007,CAN,CAN2007,2284429,1114401,1170028,853857,417519,436338,1753826,853509,900317
2008,CAN,CAN2008,2244935,1094060,1150875,838388,409685,428703,1768626,862221,906405
2009,CAN,CAN2009,2215194,1078406,1136788,819469,400072,419397,1767718,862756,904962
2010,CAN,CAN2010,2197878,1068731,1129147,799995,390354,409641,1750452,854754,895698
2011,CAN,CAN2011,2193494,1065347,1128147,780742,380796,399946,1719321,839516,879805
2012,CAN,CAN2012,2193409,1064480,1128929,1181071,575146,605925,1305240,636950,668290
2013,CAN,CAN2013,2198645,1067271,1131374,1171846,569624,602222,1291946,629639,662307
2014,CAN,CAN2014,2215125,1076401,1138724,1160237,563219,597018,1273691,619699,653992
2015,CAN,CAN2015,2248097,1094102,1153995,1141658,553826,587832,1252106,608022,644084
2016,CAN,CAN2016,2295412,1118888,1176524,1117999,542363,575636,1229199,595899,633300
2017,CAN,CAN2017,2342520,1143389,1199131,1116720,542954,573766,1215332,590157,625175
2018,CAN,CAN2018,2371409,1158383,1213026,1129484,550209,579275,1196241,581874,614367
2019,CAN,CAN2019,2384142,1164955,1219187,1150001,560997,589004,1175777,572842,602935
2020,CAN,CAN2020,2383776,1164739,1219037,1171209,571872,599337,1163583,567712,595871
2021,CAN,CAN2021,2377187,1161275,1215912,1187769,580242,607527,1166235,569607,596628
2022,CAN,CAN2022,2383011,1164330,1218681,1209930,591749,618181,1192814,583435,609379
1980,CPV,CPV1980,50823,25192,25631,25577,13308,12269,16129,8779,7350
1981,CPV,CPV1981,50776,25138,25638,25613,13081,12532,16931,9044,7887
1982,CPV,CPV1982,49917,24843,25074,25054,12626,12428,16724,8821,7903
1983,CPV,CPV1983,49414,24685,24729,24595,12259,12336,16382,8510,7872
1984,CPV,CPV1984,49247,24638,24609,24181,11998,12183,16126,8220,7906
1985,CPV,CPV1985,49386,24705,24681,23762,11802,11960,15869,7946,7923
1986,CPV,CPV1986,49816,24887,24929,23293,11618,11675,15585,7732,7853
1987,CPV,CPV1987,50483,25108,25375,22802,11350,11452,15042,7487,7555
1988,CPV,CPV1988,51299,25465,25834,22626,11180,11446,14647,7287,7360
1989,CPV,CPV1989,52329,25976,26353,22708,11135,11573,14428,7120,7308
1990,CPV,CPV1990,53704,26680,27024,22933,11207,11726,14438,7025,7413
1991,CPV,CPV1991,55507,27587,27920,23230,11372,11858,21654,10436,11218
1992,CPV,CPV1992,57671,28664,29007,23498,11593,11905,21743,10495,11248
1993,CPV,CPV1993,60202,29906,30296,24121,11963,12158,21959,10667,11292
1994,CPV,CPV1994,62862,31208,31654,25147,12493,12654,22311,10928,11383
1995,CPV,CPV1995,65452,32483,32969,26456,13147,13309,22841,11272,11569
1996,CPV,CPV1996,67775,33637,34138,27906,13874,14032,23626,11727,11899
1997,CPV,CPV1997,71943,35651,36292,29289,14563,14726,24608,12267,12341
1998,CPV,CPV1998,73750,36537,37213,32111,15947,16164,29166,14512,14654
1999,CPV,CPV1999,75236,37274,37962,33382,16572,16810,30623,15225,15398
2000,CPV,CPV2000,76285,37793,38492,34591,17169,17422,30519,15177,15342
2001,CPV,CPV2001,76842,38051,38791,35723,17718,18005,31913,15846,16067
2002,CPV,CPV2002,76855,38086,38769,36641,18173,18468,33111,16426,16685
2003,CPV,CPV2003,76121,37754,38367,37298,18497,18801,34209,16962,17247
2004,CPV,CPV2004,74687,37070,37617,37729,18701,19028,35230,17454,17776
2005,CPV,CPV2005,72649,36067,36582,38044,18835,19209,36130,17874,18256
2006,CPV,CPV2006,70249,34862,35387,38227,18887,19340,36839,18181,18658
2007,CPV,CPV2007,67917,33796,34121,37646,18680,18966,36718,18134,18584
2008,CPV,CPV2008,66132,32930,33202,36748,18300,18448,36708,18172,18536
2009,CPV,CPV2009,64863,32284,32579,35638,17782,17856,36714,18254,18460
2010,CPV,CPV2010,64020,31867,32153,34452,17200,17252,36487,18242,18245
2011,CPV,CPV2011,63398,31607,31791,33336,16649,16687,35818,17999,17819
2012,CPV,CPV2012,62927,31306,31621,32181,15979,16202,34414,17184,17230
2013,CPV,CPV2013,62615,31129,31486,31484,15595,15889,32966,16364,16602
2014,CPV,CPV2014,62388,31017,31371,31160,15443,15717,31714,15676,16038
2015,CPV,CPV2015,62163,30901,31262,31105,15448,15657,30821,15198,15623
2016,CPV,CPV2016,61907,30745,31162,31209,15538,15671,30411,15000,15411
2017,CPV,CPV2017,61561,30524,31037,30931,15426,15505,30023,14857,15166
2018,CPV,CPV2018,61644,30516,31128,30643,15283,15360,29881,14841,15040
2019,CPV,CPV2019,62045,30668,31377,30405,15145,15260,29844,14869,14975
2020,CPV,CPV2020,62619,30915,31704,30289,15059,15230,29831,14890,14941
2021,CPV,CPV2021,63179,31167,32012,30335,15051,15284,29772,14862,14910
2022,CPV,CPV2022,63449,31280,32169,30248,14997,15251,29428,14692,14736
1980,CYM,CYM1980,2040,999,1041,1013,497,516,941,461,480
1981,CYM,CYM1981,2057,1009,1048,1053,520,533,986,486,500
1982,CYM,CYM1982,2118,1039,1079,1100,542,558,1048,518,530
1983,CYM,CYM1983,2148,1054,1094,1141,562,579,1092,540,552
1984,CYM,CYM1984,2146,1053,1093,1188,584,604,1131,558,573
1985,CYM,CYM1985,2133,1051,1082,1242,612,630,1178,580,598
1986,CYM,CYM1986,2138,1057,1081,1297,640,657,1246,614,632
1987,CYM,CYM1987,1964,969,995,1245,615,630,1314,648,666
1988,CYM,CYM1988,1828,900,928,1163,574,589,1339,661,678
1989,CYM,CYM1989,1734,854,880,1066,525,541,1315,648,667
1990,CYM,CYM1990,1684,827,857,960,472,488,1243,610,633
1991,CYM,CYM1991,1660,819,841,858,421,437,1136,556,580
1992,CYM,CYM1992,1734,856,878,847,416,431,1086,534,552
1993,CYM,CYM1993,1826,899,927,847,418,429,1021,503,518
1994,CYM,CYM1994,1948,953,995,852,422,430,964,476,488
1995,CYM,CYM1995,2111,1028,1083,861,426,435,931,460,471
